<3:30:57 PM> - server: 172.16.42.26, status: UP
<3:31:03 PM> - server: 172.16.42.35, status: UP
<3:31:05 PM> - server: 172.16.42.36, status: UP
<3:31:09 PM> - server: 172.16.42.51, status: UP
<3:31:11 PM> - server: 172.16.42.80, status: UP
<3:31:19 PM> - server: 172.16.42.81, status: UP
<3:31:22 PM> - server: 172.16.42.85, status: UP
<3:31:25 PM> - server: 172.16.42.92, status: UP
<3:31:32 PM> - server: 172.16.42.106, status: UP
<3:31:35 PM> - server: 172.16.42.134, status: UP
<3:31:40 PM> - server: 172.16.42.200, status: UP
<3:31:44 PM> - server: 172.16.42.201, status: UP
<3:32:51 PM> - server: 172.16.42.202, status: UP
<3:32:55 PM> - server: 172.16.42.203, status: UP
<3:32:58 PM> - server: 172.16.42.204, status: UP
<3:33:01 PM> - server: 172.16.42.205, status: UP
<3:33:05 PM> - server: 172.16.42.206, status: UP
<3:33:10 PM> - server: 172.16.42.207, status: UP
<3:33:13 PM> - server: 172.16.42.208, status: DOWN
<3:33:16 PM> - server: 172.16.42.209, status: UP
<3:33:19 PM> - server: 172.16.42.210, status: UP
<3:33:22 PM> - server: 172.16.42.211, status: DOWN
<3:33:24 PM> - server: 172.16.42.212, status: UP
<3:33:27 PM> - server: 172.16.42.213, status: UP
<3:33:30 PM> - server: 172.16.42.214, status: UP
<3:33:34 PM> - server: 172.16.42.215, status: UP
<3:33:53 PM> - server: 172.16.42.216, status: UP
<3:33:57 PM> - server: 172.16.42.217, status: DOWN
<3:34:02 PM> - server: 172.16.42.218, status: UP
